USER_ID,MOVIE_ID,MOVIE_TITLE,PRODUCTION_YEAR,GENRES,RATING
1,,Riot ,2015,Action,8
2,,,,,
3,not value,Not available value,,,
4,1390411,,,,5
5,6306064,,not available,Action|Adventure|Biography|Drama|Romance|Thriller,4
6,6306064,,not mension,Action|Adventure|Biography|Drama|Romance|Thriller,5
7,2719848,,2015,Action|Adventure|Biography|Drama|Thriller,not available
8,462504,,2006,Action|Adventure|Biography|Drama|War,not mension
9,,,2015,Action|Adventure|Biography|Drama|Western,10
10,,The Revenant ,2015,Action|Adventure|Biography|Drama|Western,9
